Title,Author,Genre,Department,Available,Library Location,Library Name,Library Address,Open Time,Close Time,Library Incharge,Contact Email,Contact Phone,Tags
Introduction to the Theory of Computation,John Martin,Computer Science,Engineering,True,Shelf CS219,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computation,Formal Languages
Chemical Principles,Steven S. Zumdahl,Chemistry,Sciences,True,Shelf CH320,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,General Chemistry,Principles
Complex Variables and Applications,James Ward Brown,Mathematics,Sciences,True,Shelf MA421,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Complex Analysis,Applications
Introduction to Research Methods in Psychology,Paul Cozby,Psychology,Social Sciences,True,Shelf PS522,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Research Methods,Psychology
The Elements of Academic Style,Eric Hayot,Writing,Humanities,True,Shelf WR623,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Academic Writing,Style
A History of Russia,Nicholas V. Riasanovsky,History,Humanities,True,Shelf HI724,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Russian History,Empire
Human Resource Management,Gary Dessler,HR,Business,True,Shelf HR1501,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,HR,Recruitment
Computer Architecture: A Quantitative Approach,John L. Hennessy,Computer Science,Engineering,True,Shelf CS220,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Architecture,Performance
Organic Chemistry,L.G. Wade,Chemistry,Sciences,True,Shelf CH321,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Mechanisms
Introduction to Probability and Statistics,Mendenhall,Mathematics,Sciences,True,Shelf MA422,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Statistics
Biopsychology,John P.J. Pinel,Psychology,Social Sciences,True,Shelf PS523,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Neuroscience,Behavior
Writing Analytically,David Rosenwasser,Writing,Humanities,True,Shelf WR624,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Critical Thinking,Analysis
The Peloponnesian War,Thucydides,History,Humanities,True,Shelf HI725,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Ancient History,Greece
Supply Chain Management,Sunil Chopra,Operations,Business,True,Shelf OM1202,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Supply Chain,Logistics
Introduction to Automata Theory, Languages, and Computation,John E. Hopcroft,Computer Science,Engineering,True,Shelf CS221,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Automata,Formal Languages
Principles of Physical Chemistry,G.M. Barrow,Chemistry,Sciences,True,Shelf CH322,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Physical Chemistry,Thermodynamics
Foundations of Mathematical Analysis,Richard Johnsonbaugh,Mathematics,Sciences,True,Shelf MA423,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Analysis,Foundations
Cognitive Psychology and Its Implications,John R. Anderson,Psychology,Social Sciences,True,Shelf PS524,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cognition,Memory
A Pocket Style Manual,Diana Hacker,Writing,Humanities,True,Shelf WR625,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Style Guide,Writing
The Crusades,Thomas F. Madden,History,Humanities,True,Shelf HI726,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Medieval History,Crusades
Entrepreneurship,Donald F. Kuratko,Entrepreneurship,Business,True,Shelf EN1601,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Entrepreneurship,Startups
Introduction to Machine Learning,Ethem Alpaydin,Computer Science,Engineering,True,Shelf CS222,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Machine Learning,AI
Organic Chemistry,David R. Klein,Chemistry,Sciences,True,Shelf CH323,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Reactions
Linear Algebra,Serge Lang,Mathematics,Sciences,True,Shelf MA424,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Linear Algebra,Vector Spaces
Social Psychology,Kassin, Psychology,Social Sciences,True,Shelf PS525,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Influence,Attribution
Writing and Reporting News,Carole Rich,Journalism,Humanities,True,Shelf WR626,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Journalism,News Writing
The Age of Extremes: The Short Twentieth Century, 1914-1991,Eric Hobsbawm,History,Humanities,True,Shelf HI727,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,20th Century,Global History
International Business,Charles W.L. Hill,International Business,Business,True,Shelf IB1701,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Global Business,Trade
Computer Security: Principles and Practice,William Stallings,Computer Science,Engineering,True,Shelf CS223,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cybersecurity,Network Security
Inorganic Chemistry,Catherine E. Housecroft,Chemistry,Sciences,True,Shelf CH324,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Inorganic Chemistry,Bonding
Introduction to Topology,Bert Mendelson,Mathematics,Sciences,True,Shelf MA425,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Topology,Point-Set
Introduction to Biopsychology,Bryan Kolb,Psychology,Social Sciences,True,Shelf PS526,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Neuroscience,Biological Psychology
Writing Research Papers,James D. Lester,Writing,Humanities,True,Shelf WR627,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Research Writing,Academic Papers
The Civil War: A Narrative,Shelby Foote,History,Humanities,True,Shelf HI728,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,American Civil War,History
Business Analytics,James R. Evans,Analytics,Business,True,Shelf BA1801,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Data Analytics,Business Intelligence
Introduction to Algorithms,Sanjoy Dasgupta,Computer Science,Engineering,True,Shelf CS224,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Algorithm,Design
Environmental Chemistry,Colin Baird,Chemistry,Sciences,True,Shelf CH325,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Environmental Chemistry,Pollution
Mathematical Methods for Physicists,George B. Arfken,Mathematics,Sciences,True,Shelf MA426,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Mathematical Physics,Methods
Forensic Psychology,Curt R. Bartol,Psychology,Social Sciences,True,Shelf PS527,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Forensic,Criminal Behavior
The Elements of Style Illustrated,William Strunk Jr.,Writing,Humanities,True,Shelf WR628,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Writing Guide
The Second World War,Antony Beevor,History,Humanities,True,Shelf HI729,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,WWII,Military History
Project Management,Erik Larson,Management,Business,True,Shelf PM1901,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Project Management,Planning
Computer Systems: A Programmer's Perspective,Randal E. Bryant,Computer Science,Engineering,True,Shelf CS225,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Systems Programming,Architecture
Organic Chemistry,John McMurry,Chemistry,Sciences,True,Shelf CH326,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Reactions
Real Analysis,H.L. Royden,Mathematics,Sciences,True,Shelf MA427,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Real Analysis,Measure Theory
Introduction to Industrial-Organizational Psychology,Ronald E. Riggio,Psychology,Social Sciences,True,Shelf PS528,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,I-O Psychology,Workplace
They Say / I Say with Readings,Gerald Graff,Writing,Humanities,True,Shelf WR629,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Academic Writing,Argumentation
The Great Transformation,Karl Polanyi,History,Humanities,True,Shelf HI730,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Economic History,Sociology
Financial Markets and Institutions,Frederic S. Mishkin,Finance,Business,True,Shelf FI1304,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Financial Markets,Institutions
Data Mining: Concepts and Techniques,Jiawei Han,Computer Science,Engineering,True,Shelf CS226,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Data Mining,Machine Learning
Quantum Chemistry,Jack Simons,Chemistry,Sciences,True,Shelf CH327,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Quantum Chemistry,Spectroscopy
A First Course in Probability,Sheldon M. Ross,Mathematics,Sciences,True,Shelf MA428,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Random Variables
Introduction to Social Psychology,Richard J. Crisp,Psychology,Social Sciences,True,Shelf PS529,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Behavior,Perception
The St. Martin's Handbook,Andrea A. Lunsford,Writing,Humanities,True,Shelf WR630,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Writing,Research
The Histories,Herodotus,History,Humanities,True,Shelf HI731,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Ancient History,Persian Wars
Principles of Microeconomics,Karl E. Case,Economics,Social Sciences,True,Shelf EC107,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Microeconomics,Markets
Computer Vision: A Modern Approach,David Forsyth,Computer Science,Engineering,True,Shelf CS227,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computer Vision,Recognition
Analytical Chemistry,Gary D. Christian,Chemistry,Sciences,True,Shelf CH328,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Analytical Chemistry,Methods
Introduction to Ordinary Differential Equations,Shepley L. Ross,Mathematics,Sciences,True,Shelf MA429,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Differential Equations,ODEs
Psychology of Learning,B.F. Skinner,Psychology,Social Sciences,True,Shelf PS530,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Learning,Behaviorism
The Little, Brown Handbook,H. Ramsey Fowler,Writing,Humanities,True,Shelf WR631,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Research
The Rise of the West,William H. McNeill,History,Humanities,True,Shelf HI732,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,World History,Civilizations
Managerial Economics,Dominick Salvatore,Economics,Business,True,Shelf EC108,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Managerial Economics,Decision Making
Introduction to the Theory of Computation,Michael Sipser,Computer Science,Engineering,True,Shelf CS228,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computation,Formal Languages
Organic Chemistry,Paula Yurkanis Bruice,Chemistry,Sciences,True,Shelf CH329,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Textbook
Calculus: A Complete Course,Robert A. Adams,Mathematics,Sciences,True,Shelf MA430,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Calculus,Applications
Social Cognition,Fiske & Taylor,Psychology,Social Sciences,True,Shelf PS531,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Psychology,Cognition
The Elements of Grammar,Margaret Shertzer,Writing,Humanities,True,Shelf WR632,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Usage
A History of the World in 10 Chapters,Yuval Noah Harari,History,Humanities,True,Shelf HI733,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,World History,Humanity
Business Communication,Lesikar, Communication,Business,True,Shelf BC2001,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Communication,Business
Computer Graphics with OpenGL,Donald Hearn,Computer Science,Engineering,True,Shelf CS229,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Graphics,OpenGL
General Chemistry: Principles and Modern Applications,Petrucci, Chemistry,Sciences,True,Shelf CH330,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,General Chemistry,Applications
Introduction to Linear Algebra,Gilbert Strang,Mathematics,Sciences,True,Shelf MA431,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Linear Algebra,Matrices
Developmental Psychology: From Infancy to Adulthood,Slater & Bremner,Psychology,Social Sciences,True,Shelf PS532,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Developmental Psychology,Lifespan
The Elements of Style,E.B. White,Writing,Humanities,True,Shelf WR633,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Writing Guide
The Punic Wars,Adrian Goldsworthy,History,Humanities,True,Shelf HI734,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Ancient History,Rome
International Finance,Maurice Levi,Finance,Business,True,Shelf FI1305,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,International Finance,Exchange Rates
Computer Organization and Architecture,William Stallings,Computer Science,Engineering,True,Shelf CS230,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Architecture,Organization
Organic Chemistry,Janice Gorzynski Smith,Chemistry,Sciences,True,Shelf CH331,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Reactions
Abstract Algebra: An Introduction,Thomas W. Hungerford,Mathematics,Sciences,True,Shelf MA432,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Algebra,Group Theory
Abnormal Psychology: An Integrative Approach,David H. Barlow,Psychology,Social Sciences,True,Shelf PS533,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Mental Disorders,Therapy
The Blue Book of Grammar and Punctuation,Jane Straus,Writing,Humanities,True,Shelf WR634,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Punctuation
A History of the Modern World,R.R. Palmer,History,Humanities,True,Shelf HI735,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Modern History,Global
Principles of Economics,Alfred Marshall,Economics,Social Sciences,True,Shelf EC109,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Economics,Classical
Introduction to Algorithms,Michael T. Goodrich,Computer Science,Engineering,True,Shelf CS231,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Algorithm,Data Structures
Organic Chemistry: Structure and Function,Peter Vollhardt,Chemistry,Sciences,True,Shelf CH332,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Structure
Introduction to Real Analysis,William F. Trench,Mathematics,Sciences,True,Shelf MA433,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Real Analysis,Sequences
Cognitive Psychology: Connecting Mind, Research, and Everyday Experience,E. Bruce Goldstein,Psychology,Social Sciences,True,Shelf PS534,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cognition,Perception
The Craft of Argument,Joseph M. Williams,Writing,Humanities,True,Shelf WR635,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Argumentation,Rhetoric
The Anarchy: The East India Company, William Dalrymple,History,Humanities,True,Shelf HI736,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Indian History,Colonialism
Business Law,Kenneth W. Clarkson,Law,Business,True,Shelf LA2101,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Business Law,Contracts
Computer Networks: A Systems Approach,Larry L. Peterson,Computer Science,Engineering,True,Shelf CS232,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Networking,Systems
Inorganic Chemistry,Duward F. Shriver,Chemistry,Sciences,True,Shelf CH333,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Inorganic Chemistry,Structure
Introduction to Probability and Mathematical Statistics,Lee J. Bain,Mathematics,Sciences,True,Shelf MA434,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Statistics
Psychology: The Science of Mind and Behavior,Michael W. Passer,Psychology,Social Sciences,True,Shelf PS535,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Psychology,Behavior
Writing for the Sciences,Angelika H. Hofmann,Writing,Humanities,True,Shelf WR636,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Scientific Writing,Research
The Age of Empire: 1875-1914,Eric Hobsbawm,History,Humanities,True,Shelf HI737,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Imperialism,Modern History
Cost Accounting: A Managerial Emphasis,Charles T. Horngren,Accounting,Business,True,Shelf AC804,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cost Accounting,Managerial
Distributed Systems: Principles and Paradigms,Andrew S. Tanenbaum,Computer Science,Engineering,True,Shelf CS233,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Distributed Computing,Paradigms
Physical Chemistry,Robert J. Silbey,Chemistry,Sciences,True,Shelf CH334,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Physical Chemistry,Quantum Mechanics
Introduction to Analysis,Maxwell Rosenlicht,Mathematics,Sciences,True,Shelf MA435,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Analysis,Calculus
Clinical Psychology: Science, Practice, and Culture,Andrew M. Pomerantz,Psychology,Social Sciences,True,Shelf PS536,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Clinical Psychology,Practice
The Elements of Style Workbook,William Strunk Jr.,Writing,Humanities,True,Shelf WR637,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Exercises
A Brief History of Time,Stephen Hawking,Physics,Sciences,True,Shelf PH101,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Cosmology,Physics
Marketing Strategy,O.C. Ferrell,Marketing,Business,True,Shelf MK903,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Marketing,Strategy
Introduction to the Theory of Computation,Dexter C. Kozen,Computer Science,Engineering,True,Shelf CS234,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Computation,Theory
Organic Chemistry,Leroy G. Wade,Chemistry,Sciences,True,Shelf CH335,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Organic Chemistry,Mechanisms
Introduction to Mathematical Proofs,Charles Roberts,Mathematics,Sciences,True,Shelf MA436,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Proofs,Mathematics
Social Psychology: Goals in Interaction,Douglas T. Kenrick,Psychology,Social Sciences,True,Shelf PS537,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Psychology,Goals
Writing About Writing,Elizabeth Wardle,Writing,Humanities,True,Shelf WR638,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Writing Studies,Rhetoric
The History of Science,John Gribbin,History,Humanities,True,Shelf HI738,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Science History,Discoveries
Principles of Corporate Finance,Richard A. Brealey,Finance,Business,True,Shelf FI1306,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Corporate Finance,Investment
Computer Graphics: Principles and Practice in C,James D. Foley,Computer Science,Engineering,True,Shelf CS235,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Graphics,C Programming
General Chemistry: The Essential Concepts,Raymond Chang,Chemistry,Sciences,True,Shelf CH336,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,General Chemistry,Concepts
Introduction to Probability and Statistics for Engineers and Scientists,Sheldon M. Ross,Mathematics,Sciences,True,Shelf MA437,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Probability,Engineering
Psychology and Life,Philip G. Zimbardo,Psychology,Social Sciences,True,Shelf PS538,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Psychology,Life Applications
The Associated Press Stylebook,Associated Press,Writing,Humanities,True,Shelf WR639,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Journalism,Style Guide
The Rise of Rome,Anthony Everitt,History,Humanities,True,Shelf HI739,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Ancient Rome,Republic
Principles of Management,Ricky W. Griffin,Management,Business,True,Shelf MG1002,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Management,Leadership
Data Structures and Algorithms in Java,Michael T. Goodrich,Computer Science,Engineering,True,Shelf CS236,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Java,Data Structures
